column,dtype,n_non_null,min,q1,median,mean,q3,max,std,n_zero,n_negative
dur,float64,257673,0.0,8e-06,0.004285,1.2467150990092093,0.685777,59.999989,5.9743054045439274,3607,0
spkts,int64,257673,1.0,2.0,4.0,19.777143899438435,12.0,10646.0,135.9471522771517,0,0
dpkts,int64,257673,0.0,0.0,2.0,18.51470274339958,10.0,11018.0,111.98596523102219,120288,0
sbytes,int64,257673,24.0,114.0,528.0,8572.951803254513,1362.0,14355774.0,173773.88060490353,0,0
dbytes,int64,257673,0.0,0.0,178.0,14387.287542738277,1064.0,14657531.0,146199.2819383799,120288,0
rate,float64,257673,0.0,30.789277,2955.664893,91253.91244024508,125000.0003,1000000.003,160344.6366932668,3968,0
sttl,int64,257673,0.0,62.0,254.0,180.00093141307005,254.0,255.0,102.4882680176242,4210,0
dttl,int64,257673,0.0,0.0,29.0,84.7549568639322,252.0,254.0,112.7621313462377,120439,0
sload,float64,257673,0.0,12318.00488,743942.3125,70608691.22821736,80000000.0,5988000256.0,185731252.8417317,3976,0
dload,float64,257673,0.0,0.0,1747.441284,658214.2824903154,22105.38477,22422730.0,2412372.1381670847,120303,0
sloss,int64,257673,0.0,0.0,0.0,4.889317080175261,3.0,5319.0,65.57495337938032,134768,0
dloss,int64,257673,0.0,0.0,0.0,6.7436906466723325,2.0,5507.0,53.7022219922424,137841,0
sinpkt,float64,257673,0.0,0.008,0.381696,912.3008341995591,58.094727,84371.496,6922.153239419039,782,0
dinpkt,float64,257673,0.0,0.0,0.007,98.915461567933,56.438859,57739.24,1094.0486911895323,120308,0
sjit,float64,257673,0.0,0.0,0.673637,5419.372970333271,2787.367296,1483830.917,49034.49643796432,127144,0
djit,float64,257673,0.0,0.0,0.0,582.2514561381402,119.712937,463199.2401,3930.15336868831,135295,0
swin,int64,257673,0.0,0.0,0.0,121.7536606474097,255.0,255.0,127.36744261798214,134632,0
stcpb,int64,257673,0.0,0.0,0.0,1006120340.1778029,2007375255.0,4294958913.0,1367794569.6251194,137127,0
dtcpb,int64,257673,0.0,0.0,0.0,1002295002.1407249,1992751879.0,4294881924.0,1363877092.4208252,137146,0
dwin,int64,257673,0.0,0.0,0.0,119.25462892891377,255.0,255.0,127.23047696692491,137157,0
tcprtt,float64,257673,0.0,0.0,0.0,0.046038096482751395,0.082082,3.821465,0.09290833731300241,137427,0
synack,float64,257673,0.0,0.0,0.0,0.02365186096331397,0.036842,3.226788,0.05385636726164227,137427,0
ackdat,float64,257673,0.0,0.0,0.0,0.022386235519437428,0.044665,2.928778,0.04577063321822746,137461,0
smean,int64,257673,24.0,57.0,73.0,137.6390269838128,100.0,1504.0,205.90111770732503,0,0
dmean,int64,257673,0.0,0.0,44.0,121.64970330612832,89.0,1500.0,254.04101321400012,120288,0
trans_depth,int64,257673,0.0,0.0,0.0,0.1022419888773756,0.0,172.0,0.7105927643597819,232251,0
response_body_len,int64,257673,0.0,0.0,0.0,1968.900121471788,0.0,6558056.0,49625.23372487006,240722,0
ct_srv_src,int64,257673,1.0,2.0,5.0,9.383175575244593,12.0,63.0,10.829705811017572,0,0
ct_state_ttl,int64,257673,0.0,1.0,1.0,1.3249777819173914,2.0,6.0,0.9922997691031127,57836,0
ct_dst_ltm,int64,257673,1.0,1.0,2.0,6.050467064845754,6.0,59.0,8.173749214246516,0,0
ct_src_dport_ltm,int64,257673,1.0,1.0,1.0,5.2382709868709565,4.0,59.0,8.1608218899091,0,0
ct_dst_sport_ltm,int64,257673,1.0,1.0,1.0,4.032677075207724,3.0,46.0,5.831515225173218,0,0
ct_dst_src_ltm,int64,257673,1.0,1.0,3.0,8.3229636011534,8.0,65.0,11.120754470653859,0,0
is_ftp_login,int64,257673,0.0,0.0,0.0,0.012818572376616875,0.0,4.0,0.11609072785399187,254428,0
ct_ftp_cmd,int64,257673,0.0,0.0,0.0,0.012849619478952004,0.0,4.0,0.11642112447774382,254426,0
ct_flw_http_mthd,int64,257673,0.0,0.0,0.0,0.13200451735338975,0.0,30.0,0.6818536452907503,232253,0
ct_src_ltm,int64,257673,1.0,2.0,3.0,6.800045018298386,8.0,60.0,8.396266203511304,0,0
ct_srv_dst,int64,257673,1.0,2.0,4.0,9.12104877111688,11.0,62.0,10.874751841138126,0,0
is_sm_ips_ports,int64,257673,0.0,0.0,0.0,0.014273905298576103,0.0,1.0,0.11861793933057119,253995,0
