column,outlier_count,outlier_pct,lower_bound,upper_bound
dload,57556,22.34,-33158.077155,55263.461924999996
ct_src_dport_ltm,49014,19.02,-3.5,8.5
ct_dst_sport_ltm,48244,18.72,-2.0,6.0
ct_dst_src_ltm,43419,16.85,-9.5,18.5
ct_dst_ltm,42388,16.45,-6.5,13.5
dbytes,40024,15.53,-1596.0,2660.0
dloss,39660,15.39,-3.0,5.0
spkts,34871,13.53,-13.0,27.0
ct_srv_dst,34048,13.21,-11.5,24.5
dmean,33189,12.88,-133.5,222.5
smean,32653,12.67,-7.5,164.5
sbytes,32164,12.48,-1758.0,3234.0
dpkts,29737,11.54,-15.0,25.0
djit,29010,11.26,-179.5694055,299.28234249999997
ct_src_ltm,28194,10.94,-7.0,17.0
ct_srv_src,28068,10.89,-13.0,27.0
rate,23541,9.14,-187423.02725749998,312453.8168345
sjit,23533,9.13,-4181.050944,6968.418239999999
sload,22034,8.55,-119969204.98780002,199981522.99268
dur,21597,8.38,-1.0286454999999999,1.7144304999999997
synack,21327,8.28,-0.055263,0.09210499999999999
sinpkt,20319,7.89,-87.1220905,145.2248175
dinpkt,17588,6.83,-84.6582885,141.0971475
sloss,16966,6.58,-4.5,7.5
tcprtt,12442,4.83,-0.12312300000000001,0.20520500000000003
ackdat,8557,3.32,-0.0669975,0.1116625
ct_state_ttl,3763,1.46,-0.5,3.5
sttl,0,0.0,-226.0,542.0
dttl,0,0.0,-378.0,630.0
swin,0,0.0,-382.5,637.5
dtcpb,0,0.0,-2989127818.5,4981879697.5
dwin,0,0.0,-382.5,637.5
stcpb,0,0.0,-3011062882.5,5018438137.5
