,precision,recall,f1-score,support
0,0.9311168258633358,0.8426798182422698,0.8846936994589563,18046.0
1,0.7625358166189111,0.7844509948415622,0.7733381765346894,2714.0
2,0.059837728194726165,0.2610619469026549,0.09735973597359736,452.0
3,0.30480218959940286,0.3860699653324929,0.34065628476084536,3173.0
4,0.777660880238471,0.5133101851851852,0.618420135257617,8640.0
5,0.06890012642225031,0.21001926782273603,0.10376011423131842,519.0
6,0.5209112546752805,0.6512221041445271,0.5788230849154623,4705.0
7,0.40816326530612246,0.5882352941176471,0.4819277108433735,34.0
8,0.4114942528735632,0.6109215017064846,0.49175824175824173,293.0
9,0.9924336834609222,0.9759278711484594,0.9841115720716744,11424.0
accuracy,0.7527,0.7527,0.7527,0.7527
macro avg,0.5237856023252986,0.582389894944402,0.5354848755805776,50000.0
weighted avg,0.8108856967533414,0.7527,0.7742451338509492,50000.0
