,precision,recall,f1-score,support
0,0.9626551837022488,0.8221075268817204,0.8868473860644234,93000.0
1,0.8509864603481625,0.7863730606992207,0.8174048751486326,13987.0
2,0.05013507071349118,0.27093173035637613,0.08461280590010058,2329.0
3,0.3534687829037164,0.5542713875129945,0.43166015811029623,16353.0
4,0.8630374872588622,0.5134418865805727,0.6438448756583209,44525.0
5,0.07335658013689784,0.21217781098244304,0.109021113243762,2677.0
6,0.5647330483352576,0.7464324012208199,0.6429929120849839,24246.0
7,0.5359712230215827,0.8563218390804598,0.6592920353982301,174.0
8,0.48954635108481265,0.8213103904698875,0.6134453781512605,1511.0
9,0.9945349538832859,0.9799052164902924,0.9871658852116774,58871.0
accuracy,0.7674649652854587,0.7674649652854587,0.7674649652854587,0.7674649652854587
macro avg,0.5738425141388317,0.6563273250274788,0.5876287424971688,257673.0
weighted avg,0.8500098468455636,0.7674649652854587,0.7950851468617575,257673.0
