,precision,recall,f1-score,support
0,0.867587457337884,0.9015294248032805,0.8842328387412359,18046.0
1,0.6267558528428093,0.6904937361827561,0.6570827489481066,2714.0
2,0.04289544235924933,0.035398230088495575,0.03878787878787879,452.0
3,0.3148778224559233,0.3208320201701859,0.31782703715266936,3173.0
4,0.6450890357262852,0.6666666666666666,0.6557003813535204,8640.0
5,0.17391304347826086,0.06165703275529865,0.09103840682788052,519.0
6,0.5426604376690435,0.46907545164718384,0.5031919744642043,4705.0
7,0.3684210526315789,0.20588235294117646,0.2641509433962264,34.0
8,0.3930131004366812,0.30716723549488056,0.3448275862068966,293.0
9,0.989575908766928,0.9722514005602241,0.9808371600141292,11424.0
accuracy,0.7676,0.7676,0.7676,0.7676
macro avg,0.49647891537046435,0.46309535513101485,0.47376769558927484,50000.0
weighted avg,0.7605127308755569,0.7676,0.7632260699478944,50000.0
