,precision,recall,f1-score,support
0,0.8818928716100418,0.9129677419354839,0.8971613032750941,93000.0
1,0.6985304408677396,0.713662686780582,0.7060154896205396,13987.0
2,0.10344827586206896,0.048948046371833406,0.06645292917516758,2329.0
3,0.34229331314182954,0.44230416437350945,0.3859246611887739,16353.0
4,0.6654882305558042,0.6679842784952273,0.6667339184236188,44525.0
5,0.46444780635400906,0.11468061262607396,0.18394248052726184,2677.0
6,0.5952078860042943,0.5030520498226512,0.5452635343555814,24246.0
7,0.44285714285714284,0.1781609195402299,0.2540983606557377,174.0
8,0.45104895104895104,0.3414956982131039,0.3887005649717514,1511.0
9,0.9943266336873422,0.9764739854937066,0.9853194498007456,58871.0
accuracy,0.7859341102870693,0.7859341102870693,0.7859341102870693,0.7859341102870693
macro avg,0.5639541551989223,0.48997301836524015,0.5079612691994272,257673.0
weighted avg,0.7848165385093071,0.7859341102870693,0.7832187194785246,257673.0
