value,count,pct
tcp,123041,47.7508
udp,92701,35.9762
unas,15599,6.0538
arp,3846,1.4926
ospf,3271,1.2694
sctp,1474,0.572
any,396,0.1537
gre,313,0.1215
rsvp,264,0.1025
ipv6,262,0.1017
sun-nd,255,0.099
mobile,253,0.0982
swipe,253,0.0982
pim,253,0.0982
sep,251,0.0974
prm,133,0.0516
xns-idp,133,0.0516
leaf-1,133,0.0516
ggp,132,0.0512
ip,132,0.0512
ipnip,132,0.0512
st2,132,0.0512
chaos,132,0.0512
emcon,132,0.0512
nvp,132,0.0512
pup,132,0.0512
xnet,132,0.0512
mux,132,0.0512
dcn,132,0.0512
trunk-1,132,0.0512
trunk-2,132,0.0512
leaf-2,132,0.0512
irtp,132,0.0512
mfe-nsp,132,0.0512
merit-inp,132,0.0512
3pc,132,0.0512
idpr,132,0.0512
ddp,132,0.0512
idpr-cmtp,132,0.0512
tp++,132,0.0512
sdrp,132,0.0512
ipv6-frag,132,0.0512
ipv6-route,132,0.0512
idrp,132,0.0512
mhrp,132,0.0512
i-nlsp,132,0.0512
rvd,132,0.0512
narp,132,0.0512
skip,132,0.0512
tlsp,132,0.0512
ipv6-no,132,0.0512
ipv6-opts,132,0.0512
cftp,132,0.0512
sat-expak,132,0.0512
ippc,132,0.0512
kryptolan,132,0.0512
sat-mon,132,0.0512
cpnx,132,0.0512
wsn,132,0.0512
pvp,132,0.0512
br-sat-mon,132,0.0512
wb-mon,132,0.0512
vmtp,132,0.0512
ttp,132,0.0512
vines,132,0.0512
nsfnet-igp,132,0.0512
dgp,132,0.0512
eigrp,132,0.0512
tcf,132,0.0512
sprite-rpc,132,0.0512
larp,132,0.0512
mtp,132,0.0512
ax.25,132,0.0512
ipip,132,0.0512
aes-sp3-d,132,0.0512
micp,132,0.0512
encap,132,0.0512
pri-enc,132,0.0512
gmtp,132,0.0512
ifmp,132,0.0512
pnni,132,0.0512
qnx,132,0.0512
scps,132,0.0512
cbt,132,0.0512
bbn-rcc,132,0.0512
igp,132,0.0512
bna,132,0.0512
visa,132,0.0512
ipcv,132,0.0512
cphb,132,0.0512
iso-tp4,132,0.0512
wb-expak,132,0.0512
secure-vmtp,132,0.0512
xtp,132,0.0512
il,132,0.0512
fc,132,0.0512
iso-ip,132,0.0512
etherip,132,0.0512
aris,132,0.0512
a/n,132,0.0512
ipcomp,132,0.0512
snp,132,0.0512
compaq-peer,132,0.0512
ipx-n-ip,132,0.0512
pgm,132,0.0512
vrrp,132,0.0512
l2tp,132,0.0512
zero,132,0.0512
ddx,132,0.0512
iatp,132,0.0512
stp,132,0.0512
srp,132,0.0512
uti,132,0.0512
sm,132,0.0512
smp,132,0.0512
isis,132,0.0512
ptp,132,0.0512
fire,132,0.0512
crudp,132,0.0512
sccopmce,132,0.0512
iplt,132,0.0512
pipe,132,0.0512
sps,132,0.0512
ib,132,0.0512
argus,131,0.0508
egp,131,0.0508
hmp,131,0.0508
rdp,131,0.0508
netblt,131,0.0508
crtp,131,0.0508
igmp,48,0.0186
icmp,15,0.0058
rtp,1,0.0004
