column,n_unique,is_constant,is_near_constant
id,257673,False,False
dur,109945,False,False
proto,133,False,False
service,12,False,False
state,11,False,False
spkts,646,False,False
dpkts,627,False,False
sbytes,9382,False,False
dbytes,8653,False,False
rate,115763,False,False
sttl,13,False,False
dttl,9,False,False
sload,121356,False,False
dload,116380,False,False
sloss,490,False,False
dloss,476,False,False
sinpkt,114318,False,False
dinpkt,110270,False,False
sjit,117101,False,False
djit,114861,False,False
swin,22,False,False
stcpb,114473,False,False
dtcpb,114187,False,False
dwin,19,False,False
tcprtt,63878,False,False
synack,57366,False,False
ackdat,53248,False,False
smean,1377,False,False
dmean,1362,False,False
trans_depth,14,False,False
response_body_len,2819,False,False
ct_srv_src,57,False,False
ct_state_ttl,7,False,False
ct_dst_ltm,52,False,False
ct_src_dport_ltm,52,False,False
ct_dst_sport_ltm,35,False,False
ct_dst_src_ltm,58,False,False
is_ftp_login,4,False,False
ct_ftp_cmd,4,False,False
ct_flw_http_mthd,11,False,False
ct_src_ltm,52,False,False
ct_srv_dst,57,False,False
is_sm_ips_ports,2,False,True
attack_cat,10,False,False
